"","ID","suit_hist","crops"
"1",1,0.333333343267441,"bean, common"
"2",2,0.333333343267441,"bean, common"
"3",3,0,"bean, common"
"4",4,0,"bean, common"
"5",5,0.333333343267441,"bean, common"
"6",6,0.102564103901386,"bean, common"
"7",7,0.384615391492844,"bean, common"
"8",8,0,"bean, common"
"9",9,0,"bean, common"
"10",10,0,"bean, common"
"11",11,0,"bean, common"
"12",12,0,"bean, common"
"13",13,0,"bean, common"
"14",14,0,"bean, common"
"15",15,0,"bean, common"
"16",16,0,"bean, common"
"17",17,0,"bean, common"
"18",18,0,"bean, common"
"19",19,0,"bean, common"
"20",20,0,"bean, common"
"21",21,0,"bean, common"
"22",22,0.346153855323792,"bean, common"
"23",23,0,"bean, common"
"24",24,0,"bean, common"
"25",25,0,"bean, common"
"26",26,0,"bean, common"
"27",27,0,"bean, common"
"28",28,0,"bean, common"
"29",29,0,"bean, common"
"30",30,0,"bean, common"
"31",31,0,"bean, common"
"32",32,0.307692319154739,"bean, common"
"33",33,0,"bean, common"
"34",34,0,"bean, common"
"35",35,0,"bean, common"
"36",36,0,"bean, common"
"37",37,0,"bean, common"
"38",38,0.410256415605545,"bean, common"
"39",39,0.128205135464668,"bean, common"
"40",40,0,"bean, common"
"41",41,0,"bean, common"
"42",42,0,"bean, common"
"43",43,0.128205135464668,"bean, common"
"44",44,0,"bean, common"
"45",45,0,"bean, common"
"46",46,0,"bean, common"
"47",47,0,"bean, common"
"48",48,0,"bean, common"
"49",49,0.192307695746422,"bean, common"
"50",50,0,"bean, common"
"51",51,0,"bean, common"
"52",52,0,"bean, common"
"53",53,0,"bean, common"
"54",54,0,"bean, common"
"55",55,0,"bean, common"
"56",56,0.0128205129876733,"bean, common"
"57",57,0,"bean, common"
"58",58,0,"bean, common"
"59",59,0,"bean, common"
"60",60,0,"bean, common"
"61",61,0,"bean, common"
"62",62,0,"bean, common"
"63",63,0,"bean, common"
"64",64,0,"bean, common"
"65",65,0,"bean, common"
"66",66,0.294871807098389,"bean, common"
"67",67,0,"bean, common"
"68",68,0,"bean, common"
"69",69,0,"bean, common"
"70",70,0,"bean, common"
"71",71,0,"bean, common"
"72",72,0,"bean, common"
"73",73,0,"bean, common"
"74",74,0,"bean, common"
"75",75,0,"bean, common"
"76",76,0,"bean, common"
"77",77,0,"bean, common"
"78",78,0.410256415605545,"bean, common"
"79",79,0,"bean, common"
"80",80,0,"bean, common"
"81",81,0,"bean, common"
"82",82,0,"bean, common"
"83",83,0,"bean, common"
"84",84,0.487179487943649,"bean, common"
"85",85,0,"bean, common"
"86",86,0,"bean, common"
"87",87,0,"bean, common"
"88",88,0,"bean, common"
"89",89,0,"bean, common"
"90",90,0.461538463830948,"bean, common"
"91",91,0,"bean, common"
"92",92,0,"bean, common"
"93",93,0,"bean, common"
"94",94,0,"bean, common"
"95",95,0,"bean, common"
"96",96,0,"bean, common"
"97",97,0,"bean, common"
"98",98,0,"bean, common"
"99",99,0,"bean, common"
"100",100,0,"bean, common"
"101",101,0,"bean, common"
"102",102,0,"bean, common"
"103",103,0,"bean, common"
"104",104,0,"bean, common"
"105",105,0,"bean, common"
"106",106,0,"bean, common"
"107",107,0,"bean, common"
"108",108,0,"bean, common"
"109",109,0.487179487943649,"bean, common"
"110",110,0,"bean, common"
"111",111,0,"bean, common"
"112",112,0,"bean, common"
"113",113,0,"bean, common"
"114",114,0,"bean, common"
"115",115,0,"bean, common"
"116",116,0,"bean, common"
"117",117,0,"bean, common"
"118",118,0,"bean, common"
"119",119,0,"bean, common"
"120",120,0,"bean, common"
"121",121,0,"bean, common"
"122",122,0,"bean, common"
"123",123,0,"bean, common"
"124",124,0,"bean, common"
"125",125,0,"bean, common"
"126",126,0,"bean, common"
"127",127,0,"bean, common"
"128",128,0,"bean, common"
"129",129,0,"bean, common"
"130",130,0,"bean, common"
"131",131,0,"bean, common"
"132",132,0,"bean, common"
"133",133,0,"bean, common"
"134",134,0,"bean, common"
"135",135,0,"bean, common"
"136",136,0.102564103901386,"bean, common"
"137",137,0,"bean, common"
"138",138,0,"bean, common"
"139",139,0,"bean, common"
"140",140,0,"bean, common"
"141",141,0,"bean, common"
"142",142,0,"bean, common"
"143",143,0,"bean, common"
"144",144,0,"bean, common"
"145",145,0,"bean, common"
"146",146,0,"bean, common"
